Number of clients,throughput,latency,fail goodput,fail customer rate,binary serialization,client max threadpool threads,server min threadpool size,server max threadpool size,address space
10,25.65652,0.39140198,0,0,0,250,10,200,local,computer 3
20,27.532032,0.7314765,0,0,0,250,10,200,local,computer 3
30,33.79753,0.8928541,0,0,0,250,10,200,local,computer 3
40,41.554337,0.9678518,0,0,0,250,10,200,local,computer 3
50,48.32367,1.0420032,0,0,0,250,10,200,local,computer 3
60,50.77072,1.1902258,0,0,0,250,10,200,local,computer 3
70,54.662205,1.2943064,0,0,0,250,10,200,local,computer 3
80,65.46256,1.2357489,0,0,0,250,10,200,local,computer 3
90,68.913506,1.3190975,0,0,0,250,10,200,local,computer 3
100,69.02093,1.4608495,0,0,0,250,10,200,local,computer 3
500,90.43175,5.577236,0,0,0,250,10,200,local,computer 3
10,2.0398283,4.9100614,0,0,0,250,10,100,RPC,computer 3
20,2.0019488,10.006713,0,0,0,250,10,100,RPC,computer 3
30,2.5052893,11.997764,0,0,0,250,10,100,RPC,computer 3
40,2.339385,17.12996,0,0,0,250,10,100,RPC,computer 3
50,2.1081269,23.763962,0,0,0,250,10,100,RPC,computer 3
60,2.619831,22.937605,0,0,0,250,10,100,RPC,computer 3
70,3.3444345,20.96813,0,0,0,250,10,100,RPC,computer 3
80,2.788669,28.795385,0,0,0,250,10,100,RPC,computer 3
90,2.694464,33.50019,0,0,0,250,10,100,RPC,computer 3
100,2.8776484,34.80083,0,0,0,250,10,100,RPC,computer 3
